|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
||2026|103.66||||||||||||
|031. (Giyim)|2023||||||||||||76.4|
||2024|74.75|74.56|76.87|80.17|88.27|87.89|85.71|85.71|88.81|102.91|103.2|103.45|
||2025|97.8|91.7|88.73|95.14|102.93|102.44|95.52|94.5|98.45|111.68|112.09|109.03|
||2026|103.59||||||||||||
|0312. (Giysiler)|2023||||||||||||77.82|
||2024|75.71|75.21|77.51|80.94|89.47|88.84|86.28|86.16|89.28|104.42|104.66|104.82|
||2025|98.46|91.66|88.35|95.04|103.28|102.71|95.16|94.0|98.08|112.01|112.31|108.95|
||2026|103.18||||||||||||
|03121. (Erkek Ve Erkek Çocuk Giysileri)|2023||||||||||||75.18|
||2024|73.51|73.0|75.02|78.98|88.52|88.1|85.53|86.44|89.69|103.68|103.1|103.14|
||2025|96.64|90.7|88.18|94.91|103.2|101.64|94.88|93.54|98.52|113.22|114.31|110.25|
||2026|106.94||||||||||||
|03122. (Kadın Ve Kız Çocuk Giysileri)|2023||||||||||||79.76|
||2024|77.26|76.76|79.41|82.46|89.93|88.95|86.44|84.97|88.04|105.22|106.6|106.73|
||2025|100.39|92.51|88.29|95.13|103.52|103.92|95.37|94.2|97.46|110.86|110.51|107.84|
||2026|99.6||||||||||||
|03123. (Bebek Giysileri (0-2 Yaş))|2023||||||||||||107.09|
||2024|101.42|101.37|102.62|99.23|104.75|106.69|103.22|107.03|107.55|102.46|97.66|102.96|
||2025|99.52|95.79|93.64|96.14|99.73|101.63|97.43|100.49|101.34|108.31|103.91|102.07|
||2026|95.66||||||||||||
|03124. (Okul Üniformaları)|2025||||||||||||100.0|
||2026|100.15||||||||||||
|0313. (Diğer Giyim Eşyaları Ve Giyim Aksesuarları)|2023||||||||||||67.36|
||2024|69.22|72.75|75.06|76.68|79.41|81.72|83.35|84.6|87.44|89.56|89.64|90.59|
||2025|91.05|94.18|95.35|97.57|99.28|98.94|99.56|99.86|101.41|106.18|108.18|108.45|
||2026|106.62||||||||||||
|03131. (Diğer Giyim Eşyaları)|2023||||||||||||68.94|
||2024|68.81|71.76|74.82|77.14|81.12|84.05|84.56|85.3|87.25|89.89|89.72|90.68|
||2025|90.76|93.06|94.31|97.03|99.15|98.56|99.33|99.62|100.82|107.21|109.9|110.26|
||2026|108.4||||||||||||
|03132. (Giyim Aksesuarları)|2023||||||||||||64.44|
||2024|69.92|74.51|75.46|75.8|76.23|77.4|81.1|83.27|87.72|88.89|89.43|90.36|
||2025|91.74|96.95|97.92|98.89|99.6|99.87|100.12|100.42|102.85|103.67|103.95|104.02|
|0314. (Giyim Eşyalarının Temizlenmesi, Onarımı, Tadilatı, Dikimi Ve Kiralanması)|2023||||||||||||44.13|
||2024|50.28|53.67|56.05|58.02|60.91|64.0|67.08|68.82|71.24|72.63|74.66|76.13|
||2025|85.23|89.21|91.65|94.73|96.59|98.65|101.54|103.3|106.59|109.0|110.74|112.78|
||2026|123.9||||||||||||
|03141. (Giyim Eşyalarının Temizlenmesi)|2023||||||||||||45.29|
||2024|53.47|56.55|58.53|60.61|62.31|64.43|68.4|70.18|72.02|74.17|76.05|76.88|
||2025|86.49|90.28|91.4|94.44|96.56|97.62|100.18|102.04|106.79|109.42|111.42|113.34|
||2026|126.44||||||||||||
|03142. (Giyim Eşyalarının Onarımı, Tadilatı, Dikimi Ve Kiralanması)|2023||||||||||||43.59|
||2024|48.83|52.35|54.91|56.83|60.24|63.75|66.45|68.16|70.84|71.9|73.99|75.73|
||2025|84.57|88.65|91.78|94.89|96.6|99.19|102.26|103.96|106.48|108.77|110.38|112.48|
||2026|123.18||||||||||||
|032. (Ayakkabılar)|2023||||||||||||80.11|
||2024|80.45|81.88|82.77|87.38|94.24|93.19|90.44|91.89|95.3|103.66|101.29|97.04|
||2025|93.16|92.75|93.05|96.72|99.13|99.66|97.42|98.0|100.93|109.75|111.81|107.63|
||2026|104.69||||||||||||
|0321. (Ayakkabılar)|2023||||||||||||80.41|
||2024|80.71|82.12|83.01|87.63|94.53|93.46|90.65|92.09|95.49|103.92|101.51|97.2|
||2025|93.23|92.76|93.06|96.74|99.16|99.66|97.39|97.96|100.89|109.76|111.82|107.59|
||2026|104.65||||||||||||
|03211. (Erkek Ayakkabıları)|2023||||||||||||83.83|
||2024|84.65|87.22|87.38|91.94|98.98|97.26|93.12|95.31|98.23|104.27|100.85|96.99|
||2025|93.16|92.86|93.04|96.52|97.89|99.41|97.11|98.89|102.85|109.82|111.67|106.77|
||2026|103.52||||||||||||
|03212. (Kadın Ayakkabıları)|2023||||||||||||79.33|
||2024|79.16|79.91|81.43|85.8|93.56|92.11|90.24|89.84|93.59|103.66|102.68|98.05|
||2025|93.67|93.14|93.14|96.79|100.02|99.53|98.16|97.7|99.46|109.91|111.27|107.22|
||2026|104.88||||||||||||
|03213. (Bebek Ve Çocuk Ayakkabıları)|2023||||||||||||75.9|
||2024|76.17|76.74|77.68|82.99|87.77|88.74|86.52|90.42|94.07|103.61|100.16|95.65|
||2025|92.32|91.62|92.88|97.13|100.03|100.52|96.17|96.44|99.77|109.27|113.49|110.36|
||2026|107.04||||||||||||
|0322. (Ayakkabıların Temizlenmesi, Tamiri Ve Kiralanması)|2023||||||||||||47.03|
||2024|51.9|54.42|56.29|58.93|61.65|62.97|65.79|68.36|72.44|73.95|75.69|77.18|
||2025|84.86|90.69|92.48|94.28|95.98|99.65|101.93|103.51|105.77|108.01|110.57|112.26|
|03220. (Ayakkabıların Temizlenmesi, Tamiri Ve Kiralanması)|2023||||||||||||47.03|
||2024|51.9|54.42|56.29|58.93|61.65|62.97|65.79|68.36|72.44|73.95|75.69|77.18|
||2025|84.86|90.69|92.48|94.28|95.98|99.65|101.93|103.51|105.77|108.01|110.57|112.26|
|04. (Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)|2023||||||||||||45.55|
||2024|48.94|50.61|52.34|53.07|56.82|58.97|63.73|69.14|71.81|73.91|75.69|76.98|
||2025|82.63|86.4|88.22|92.32|95.09|97.57|103.2|105.94|108.65|111.54|113.43|115.0|
||2026|120.1||||||||||||
|041. (Konut İçin Yapılan Gerçek Kira Ödemeleri)|2023||||||||||||35.87|
||2024|39.99|42.81|45.52|47.62|50.22|52.78|56.49|60.66|65.29|68.88|71.76|73.83|
||2025|80.23|84.43|87.29|90.09|92.88|96.57|101.09|105.76|110.4|114.53|117.39|119.32|
||2026|125.6||||||||||||
|0411. (Ana İkametgah İçin Kiracılar Tarafından Ödenen Gerçek Kiralar)|2023||||||||||||35.87|
||2024|39.99|42.81|45.52|47.62|50.22|52.78|56.49|60.66|65.29|68.88|71.76|73.83|
||2025|80.23|84.43|87.29|90.09|92.88|96.57|101.09|105.76|110.4|114.53|117.39|119.32|
||2026|125.6||||||||||||
|04110. (Kiracılar Tarafından Ödenen Gerçek Kira)|2023||||||||||||35.87|
||2024|39.99|42.81|45.52|47.62|50.22|52.78|56.49|60.66|65.29|68.88|71.76|73.83|
||2025|80.23|84.43|87.29|90.09|92.88|96.57|101.09|105.76|110.4|114.53|117.39|119.32|
||2026|125.6||||||||||||
|043. (Konutun Bakımı, Onarımı Ve Güvenliği)|2023||||||||||||62.71|
||2024|65.69|68.06|70.36|72.43|74.39|75.26|77.84|79.52|80.99|81.88|83.05|84.41|
||2025|88.26|91.15|92.42|95.53|97.71|99.1|101.43|103.51|105.48|106.99|108.12|110.31|
||2026|115.71||||||||||||
|0431. (Konutun Bakım Ve Onarımı İçin Malzemeler Ve Güvenlik Ekipmanları)|2023||||||||||||62.79|
||2024|65.75|68.1|70.41|72.49|74.45|75.31|77.88|79.57|81.03|81.92|83.08|84.45|
||2025|88.27|91.15|92.41|95.53|97.72|99.11|101.43|103.51|105.47|106.98|108.11|110.31|
||2026|115.42||||||||||||
|04311. (Konutun Bakım Ve Onarımı İçin Malzemeler)|2023||||||||||||62.79|
||2024|65.75|68.1|70.41|72.49|74.45|75.31|77.88|79.57|81.03|81.92|83.08|84.45|
||2025|88.27|91.15|92.41|95.53|97.72|99.11|101.43|103.51|105.47|106.98|108.11|110.31|
||2026|115.42||||||||||||
|0432. (Konutun Bakım, Onarım Ve Güvenlik Hizmetleri)|2023||||||||||||52.84|
||2024|58.87|62.7|64.21|65.62|67.77|69.46|72.5|74.37|75.76|77.67|79.62|80.59|
||2025|87.1|91.64|93.47|95.37|96.43|97.99|100.78|103.03|106.18|107.92|109.38|110.72|
||2026|116.35||||||||||||
|04320. (Konutun Bakım, Onarım Ve Güvenlik Hizmetleri)|2023||||||||||||52.84|
||2024|58.87|62.7|64.21|65.62|67.77|69.46|72.5|74.37|75.76|77.67|79.62|80.59|
||2025|87.1|91.64|93.47|95.37|96.43|97.99|100.78|103.03|106.18|107.92|109.38|110.72|
||2026|116.35||||||||||||
|044. (Konutla İlgili Su Temini Ve Çeşitli Hizmetler)|2023||||||||||||51.94|
||2024|54.48|55.09|55.93|56.58|56.45|63.61|65.83|67.55|68.7|69.61|70.14|70.51|
||2025|84.82|87.33|89.27|90.76|97.24|102.07|103.85|105.19|106.86|109.39|111.21|112.02|
||2026|120.22||||||||||||
|0441. (Su Temini)|2023||||||||||||51.94|
||2024|54.48|55.09|55.93|56.58|56.45|63.61|65.83|67.55|68.7|69.61|70.14|70.51|
||2025|84.82|87.33|89.27|90.76|97.24|102.07|103.85|105.19|106.86|109.39|111.21|112.02|
||2026|120.22||||||||||||
|04411. (Su (Şebeke Suyu))|2023||||||||||||51.94|
||2024|54.48|55.09|55.93|56.58|56.45|63.61|65.83|67.55|68.7|69.61|70.14|70.51|
||2025|84.82|87.33|89.27|90.76|97.24|102.07|103.85|105.19|106.86|109.39|111.21|112.02|
||2026|120.22||||||||||||
|045. (Elektrik, Gaz Ve Diğer Yakıtlar)|2023||||||||||||52.57|
||2024|55.43|55.79|56.42|55.05|62.09|62.4|69.97|79.25|80.18|81.06|81.97|82.55|
||2025|83.54|87.54|87.86|95.51|96.67|96.54|106.69|107.34|107.79|109.33|110.0|111.18|
||2026|113.35||||||||||||
|0451. (Elektrik)|2023||||||||||||56.12|
||2024|56.12|56.12|56.12|56.12|56.12|56.12|77.44|77.44|77.44|77.44|77.44|77.44|
||2025|77.44|85.73|85.14|102.85|105.31|104.36|106.61|106.75|106.03|106.5|106.3|106.98|
||2026|110.24||||||||||||
|04510. (Elektrik)|2023||||||||||||56.12|
||2024|56.12|56.12|56.12|56.12|56.12|56.12|77.44|77.44|77.44|77.44|77.44|77.44|
||2025|77.44|85.73|85.14|102.85|105.31|104.36|106.61|106.75|106.03|106.5|106.3|106.98|
||2026|110.24||||||||||||
|0452. (Gaz)|2023||||||||||||47.54|
||2024|51.92|52.34|53.28|50.92|62.65|63.16|65.39|80.82|82.01|82.61|83.43|83.91|
||2025|85.42|86.76|87.68|89.18|89.53|90.0|109.5|110.46|111.08|112.48|113.25|114.68|
||2026|115.84||||||||||||
|04521. (Doğalgaz Ve İlgili Abonelik Ücretleri)|2023||||||||||||46.11|
||2024|50.22|50.35|50.72|47.8|61.51|62.22|63.83|81.47|81.98|82.45|82.96|83.49|
||2025|84.53|84.78|85.91|87.41|87.88|88.48|111.85|112.54|113.08|113.66|114.57|115.31|
||2026|116.06||||||||||||
|04522. (Tüpgaz (Ev Tüpü))|2023||||||||||||56.13|
||2024|62.16|64.5|69.05|70.24|69.22|68.46|74.69|75.8|81.3|82.74|85.49|85.72|
||2025|89.2|95.21|95.18|96.68|96.53|96.45|99.51|101.61|102.55|107.46|107.62|112.0|
||2026|114.49||||||||||||
|0454. (Katı Yakıtlar)|2023||||||||||||73.12|
||2024|75.38|76.35|77.0|77.45|77.61|77.69|77.97|78.46|80.54|85.37|89.32|92.04|
||2025|94.07|95.13|95.95|96.4|96.67|96.85|97.59|98.6|101.67|106.62|109.37|111.08|
||2026|113.1||||||||||||
|04541. (Kömür, Kömür Briketi Ve Turba)|2023||||||||||||75.28|
||2024|77.58|78.34|78.9|79.33|79.34|79.27|79.46|79.81|81.71|85.99|90.36|93.35|
||2025|95.49|96.29|96.9|97.04|97.1|97.17|97.88|98.87|100.98|105.16|107.71|109.42|
||2026|110.76||||||||||||
|04542. (Yakacak Odun, Peletler Ve Briketler Dahil)|2023||||||||||||67.37|
||2024|69.51|71.07|71.94|72.43|73.0|73.49|74.0|74.92|77.46|83.8|86.62|88.59|
||2025|90.33|92.09|93.46|94.72|95.52|96.0|96.84|97.91|103.49|110.47|113.72|115.45|
||2026|119.07||||||||||||
|05. (Mobilya, Mefruşat Ve Evde Kullanılan Ekipmanlar İle Rutin Ev Bakım Ve Onarımı)|2023||||||||||||62.44|
||2024|67.02|69.03|71.26|74.19|75.57|76.8|78.07|78.92|80.48|81.94|84.24|86.58|
||2025|90.65|92.18|94.3|96.79|97.96|99.93|101.55|102.36|104.04|105.59|106.5|108.16|
||2026|111.61||||||||||||
|051. (Mobilya, Mefruşat Ve Halılar)|2023||||||||||||61.14|
||2024|67.45|69.82|73.33|78.14|79.51|80.53|79.27|80.58|80.59|83.73|84.26|86.09|
||2025|92.41|93.19|95.49|99.65|100.37|100.42|101.66|101.09|101.68|103.45|104.45|106.14|
||2026|110.06||||||||||||
|0511. (Mobilya, Mefruşat Ve Halılar)|2023||||||||||||61.14|
||2024|67.45|69.82|73.33|78.14|79.51|80.53|79.27|80.58|80.59|83.73|84.26|86.09|
||2025|92.41|93.19|95.49|99.65|100.37|100.42|101.66|101.09|101.68|103.45|104.45|106.14|
||2026|110.06||||||||||||
|05111. (Ev Mobilyaları)|2023||||||||||||61.26|
||2024|67.76|70.41|73.98|78.69|80.28|81.84|80.35|81.7|81.1|84.05|84.57|86.52|
||2025|92.81|93.16|95.6|99.83|100.57|100.61|101.66|100.98|101.58|103.19|104.19|105.82|
||2026|109.39||||||||||||
|05114. (Mefruşat, Halılar Ve Kilimler)|2023||||||||||||59.7|
||2024|63.62|62.57|65.42|71.34|70.23|64.56|66.04|66.88|74.35|79.86|80.44|80.88|
||2025|87.5|93.51|94.23|97.54|97.87|98.2|101.63|102.37|102.85|106.66|107.56|110.09|
||2026|116.59||||||||||||
|052. (Ev Tekstilleri)|2023||||||||||||66.38|
||2024|70.93|74.1|76.67|78.46|80.12|80.79|81.63|82.42|83.64|85.8|86.39|87.08|
||2025|89.09|91.93|95.55|97.37|99.67|100.22|101.81|103.17|104.3|105.96|105.32|105.61|
||2026|107.78||||||||||||
|0521. (Ev Tekstilleri)|2023||||||||||||66.38|
||2024|70.93|74.1|76.67|78.46|80.12|80.79|81.63|82.42|83.64|85.8|86.39|87.08|
||2025|89.09|91.93|95.55|97.37|99.67|100.22|101.81|103.17|104.3|105.96|105.32|105.61|
||2026|107.78||||||||||||
|05211. (Döşemelik Kumaşlar Ve Perdeler)|2023||||||||||||65.01|
||2024|68.65|72.5|74.82|76.67|78.39|78.59|79.39|80.57|82.08|83.38|85.66|86.65|
||2025|89.19|92.33|94.25|96.44|98.73|99.91|101.87|103.37|104.45|105.88|106.51|107.07|
||2026|110.29||||||||||||
|05212. (Yatak Takımları Ve Yatak Olarak Kullanılan Eşyalar)|2023||||||||||||67.51|
||2024|73.32|75.81|78.52|80.43|81.59|82.27|83.19|83.57|84.09|87.34|86.63|87.05|
||2025|88.65|90.88|96.35|98.18|100.61|100.65|101.92|103.09|104.35|105.96|104.7|104.65|
||2026|106.58||||||||||||
|05213. (Masa Ve Banyo Tekstili)|2023||||||||||||67.75|
||2024|70.27|73.54|76.7|77.49|81.55|84.61|85.16|86.23|89.63|90.45|89.14|89.77|
||2025|91.51|96.67|97.66|97.22|98.7|99.16|100.77|102.5|103.14|106.36|102.7|103.61|
||2026|105.6||||||||||||
|05219. (Diğer Ev Tekstilleri)|2025||||||||||||100.0|
||2026|100.75||||||||||||
|053. (Ev Aletleri)|2023||||||||||||61.96|
||2024|66.35|68.43|70.22|72.25|73.17|74.08|75.65|75.86|78.92|80.0|83.31|87.88|
||2025|90.79|91.98|94.3|95.12|96.8|99.64|100.93|102.37|105.25|106.53|107.31|108.96|
||2026|112.63||||||||||||
|0531. (Elektrikli Veya Elektriksiz Büyük Ev Aletleri)|2023||||||||||||62.94|
||2024|66.92|68.54|70.42|72.51|73.42|74.24|75.86|75.96|78.89|80.09|83.53|88.41|
||2025|90.94|91.75|94.37|95.06|96.96|99.68|100.86|102.19|105.29|106.28|107.47|109.17|
||2026|111.99||||||||||||
|05311. (Elektrikli Büyük Mutfak Eşyaları)|2023||||||||||||60.63|
||2024|65.31|66.65|68.74|70.71|71.48|72.48|74.13|74.73|77.96|78.32|83.15|88.3|
||2025|91.73|91.83|94.6|94.18|96.33|99.16|100.11|101.83|105.8|106.92|107.84|109.68|
||2026|111.89||||||||||||
|05312. (Çamaşır Makineleri Ve Kurutma Makineleri)|2023||||||||||||67.84|
||2024|70.39|71.32|72.12|73.79|74.22|75.02|75.97|75.93|78.0|80.87|83.14|87.76|
||2025|88.56|90.67|92.79|94.44|97.18|100.34|101.95|101.93|106.53|107.58|108.32|109.71|
||2026|112.87||||||||||||
|05313. (Isıtıcılar, Klimalar)|2023||||||||||||63.88|
||2024|67.01|67.78|69.98|73.23|74.81|75.73|77.9|78.13|79.64|80.81|83.64|86.8|
||2025|88.65|91.75|95.12|98.25|99.08|100.09|100.85|102.74|102.99|104.4|107.19|108.87|
||2026|111.76||||||||||||
|05314. (Temizlik Ekipmanları (Elektrik Süpürgesi Vb.))|2023||||||||||||63.67|
||2024|68.15|73.65|76.17|78.18|79.84|79.69|81.64|79.37|84.43|86.62|86.22|92.63|
||2025|95.25|93.62|95.52|96.16|96.54|100.26|102.26|103.73|103.44|103.09|104.22|105.91|
||2026|109.9||||||||||||
|0532. (Küçük Ev Aletleri)|2023||||||||||||64.8|
||2024|68.79|73.34|74.48|76.95|77.28|79.5|78.84|78.27|83.57|82.62|85.5|90.57|
||2025|92.07|93.41|93.51|95.84|95.02|100.59|102.48|104.09|104.65|107.79|104.3|106.25|
||2026|111.92||||||||||||
|05321. (Yiyecek Pişirme Ve İşlemede Kullanılan Küçük Aletler)|2023||||||||||||65.85|
||2024|70.03|74.67|75.74|78.95|79.02|81.33|80.43|80.3|85.41|84.08|86.64|90.99|
||2025|92.36|93.25|93.61|95.64|96.82|100.79|102.94|104.3|105.17|108.14|102.07|104.91|
||2026|106.75||||||||||||
|05322. (İçecek Hazırlamada Kullanılan Küçük Aletler)|2023||||||||||||63.23|
||2024|66.76|71.34|74.45|75.59|77.21|80.48|78.64|77.23|79.97|81.46|82.42|89.48|
||2025|91.14|93.68|93.55|96.35|92.69|100.34|103.11|104.4|104.95|107.52|107.12|105.14|
||2026|116.89||||||||||||
|05329. (Diğer Küçük Ev Aletleri)|2023||||||||||||63.43|
||2024|67.25|71.47|70.94|72.17|72.1|72.97|74.3|73.11|81.66|79.61|85.53|91.19|
||2025|92.76|93.42|93.14|95.6|93.48|100.41|99.93|102.89|102.53|107.16|106.35|112.34|
||2026|118.77||||||||||||
|0533. (Ev Aletlerinin Onarımı, Kurulumu Ve Kiralanması)|2023||||||||||||47.93|
||2024|56.81|60.88|62.51|63.31|64.92|65.31|68.88|70.92|72.88|74.89|77.23|78.17|
||2025|87.45|93.04|94.42|94.95|97.2|98.07|99.9|102.38|105.47|108.0|109.2|109.93|
||2026|119.8||||||||||||
|05330. (Ev Aletlerinin Onarımı, Kurulumu Ve Kiralanması)|2023||||||||||||47.93|
||2024|56.81|60.88|62.51|63.31|64.92|65.31|68.88|70.92|72.88|74.89|77.23|78.17|
||2025|87.45|93.04|94.42|94.95|97.2|98.07|99.9|102.38|105.47|108.0|109.2|109.93|
||2026|119.8||||||||||||
|054. (Züccaciye, Yemek Takımı Ve Ev Gereçleri)|2023||||||||||||68.58|
||2024|71.95|74.79|77.01|79.52|80.56|82.76|84.18|85.92|86.31|87.49|88.91|89.54|
||2025|92.69|94.19|95.65|98.15|98.32|99.87|102.08|102.65|103.4|104.6|103.93|104.49|
||2026|105.87||||||||||||
|0540. (Züccaciye, Yemek Takımı Ve Ev Gereçleri)|2023||||||||||||68.58|
||2024|71.95|74.79|77.01|79.52|80.56|82.76|84.18|85.92|86.31|87.49|88.91|89.54|
||2025|92.69|94.19|95.65|98.15|98.32|99.87|102.08|102.65|103.4|104.6|103.93|104.49|
||2026|105.87||||||||||||
|05401. (Cam, Kristal, Seramik, Porselen Ve Çin Porseleni Eşyalar)|2023||||||||||||67.57|
||2024|71.28|73.27|75.34|77.92|78.13|80.51|82.15|84.24|84.17|85.41|87.63|87.43|
||2025|91.94|93.12|94.2|97.49|97.36|99.69|102.94|103.47|104.22|105.76|105.14|104.66|
||2026|105.48||||||||||||
|05402. (Çatal Bıçak Takımları Ve Gümüş Çatal Bıçak Takımları)|2023||||||||||||74.45|
||2024|77.18|80.18|82.46|84.77|83.53|84.78|86.14|87.95|88.76|89.3|91.09|91.97|
||2025|93.68|96.59|99.05|100.89|100.88|100.1|100.68|101.33|101.8|102.31|100.35|102.32|
||2026|103.47||||||||||||
|05403. (Mutfak Gereçleri Ve Eşyaları)|2023||||||||||||68.61|
||2024|71.71|75.48|77.87|80.35|82.77|84.97|86.14|87.47|88.31|89.54|89.98|91.51|
||2025|93.36|94.97|96.71|98.41|98.96|100.02|101.35|101.95|102.76|103.68|103.18|104.67|
||2026|106.55||||||||||||
|055. (Ev Ve Bahçe Alet Ve Ekipmanları)|2023||||||||||||66.08|
||2024|69.41|71.83|72.34|73.42|75.9|76.99|80.62|83.33|84.59|84.61|88.99|90.61|
||2025|89.92|91.43|95.43|97.13|98.82|102.94|102.17|100.81|104.03|102.63|106.23|108.45|
||2026|108.95||||||||||||
|0552. (Motorlu Olmayan Ev Ve Bahçe Aletleri Ve Çeşitli Aksesuarlar)|2023||||||||||||66.08|
||2024|69.41|71.83|72.34|73.42|75.9|76.99|80.62|83.33|84.59|84.61|88.99|90.61|
||2025|89.92|91.43|95.43|97.13|98.82|102.94|102.17|100.81|104.03|102.63|106.23|108.45|
||2026|108.95||||||||||||
|05522. (Çeşitli Hırdavat Malzemeleri Ve Aksesuarlar (Pil, Ampul Vb.))|2023||||||||||||66.08|
||2024|69.41|71.83|72.34|73.42|75.9|76.99|80.62|83.33|84.59|84.61|88.99|90.61|
||2025|89.92|91.43|95.43|97.13|98.82|102.94|102.17|100.81|104.03|102.63|106.23|108.45|
||2026|108.95||||||||||||
|056. (Rutin Ev Bakımı İçin Mal Ve Hizmetler)|2023||||||||||||61.72|
||2024|65.28|66.4|68.04|70.88|72.77|74.5|77.62|78.55|79.98|80.37|83.48|84.3|
||2025|88.69|91.07|92.44|95.69|96.55|99.58|102.03|103.4|104.86|106.76|108.36|110.58|
||2026|114.83||||||||||||
|0561. (Dayanıklı Olmayan Ev Eşyaları)|2023||||||||||||71.64|
||2024|73.88|74.05|75.64|78.95|80.57|82.02|84.56|84.36|84.68|84.17|88.03|88.72|
||2025|90.56|91.9|93.1|97.02|97.41|100.21|101.68|103.19|103.86|105.19|106.61|109.28|
||2026|111.83||||||||||||
|05611. (Ev Temizlik Ve Bakım Ürünleri)|2023||||||||||||71.91|
||2024|73.9|73.47|75.2|78.36|79.82|81.53|84.3|83.86|84.51|83.41|87.71|88.32|
||2025|90.04|91.17|92.43|96.56|96.36|99.96|101.56|103.07|104.59|105.94|107.65|110.67|
||2026|113.33||||||||||||
|05619. (Diğer Dayanıklı Olmayan Ev Eşyaları)|2023||||||||||||70.15|
||2024|73.75|77.1|77.96|82.03|84.59|84.57|85.92|87.03|85.52|88.2|89.68|90.83|
||2025|93.3|95.7|96.6|99.39|102.89|101.55|102.32|103.81|100.03|101.26|101.18|101.94|
||2026|104.09||||||||||||
|0562. (Ev İçi Hizmetler Ve Hanehalkı Hizmetleri)|2023||||||||||||40.81|
||2024|46.97|49.99|51.7|53.55|55.93|58.22|62.45|65.61|69.26|71.45|73.02|74.07|
||2025|84.38|89.15|90.92|92.61|94.57|98.1|102.84|103.9|107.18|110.37|112.39|113.58|
||2026|123.84||||||||||||
|05629. (Diğer Hanehalkı Hizmetleri)|2023||||||||||||40.81|
||2024|46.97|49.99|51.7|53.55|55.93|58.22|62.45|65.61|69.26|71.45|73.02|74.07|
||2025|84.38|89.15|90.92|92.61|94.57|98.1|102.84|103.9|107.18|110.37|112.39|113.58|
||2026|123.84||||||||||||
|06. (Sağlık)|2023||||||||||||54.62|
||2024|64.28|66.62|67.57|68.27|69.5|70.67|73.32|74.54|75.67|77.85|79.94|80.64|
||2025|99.65|95.28|95.95|96.94|97.39|98.02|100.81|101.82|102.31|102.8|103.49|105.53|
||2026|121.2||||||||||||
|061. (İlaçlar Ve Sağlık Ürünleri)|2023||||||||||||68.04|
||2024|74.77|76.29|77.14|77.87|78.15|78.64|79.3|79.82|80.29|85.61|90.98|91.98|
||2025|95.16|95.32|96.57|97.82|98.44|99.11|100.24|101.0|101.21|101.87|103.22|110.05|
||2026|119.97||||||||||||
|0611. (İlaçlar)|2023||||||||||||74.65|
||2024|82.7|82.75|82.75|82.75|82.74|82.76|82.7|82.68|82.74|90.0|97.84|98.52|
||2025|99.35|99.38|99.26|99.08|99.09|99.1|99.11|99.12|99.13|99.13|99.14|109.11|
||2026|121.15||||||||||||
|06111. (İlaçlar, Aşılar Ve Diğer Eczacılık Ürünleri)|2023||||||||||||74.65|
||2024|82.7|82.75|82.75|82.75|82.74|82.76|82.7|82.68|82.74|90.0|97.84|98.52|
||2025|99.35|99.38|99.26|99.08|99.09|99.1|99.11|99.12|99.13|99.13|99.14|109.11|
||2026|121.15||||||||||||
|0612. (Medikal (Tıbbi) Ürünler)|2023||||||||||||63.78|
||2024|67.17|71.01|72.92|75.63|76.05|76.71|78.91|80.79|82.21|83.74|85.63|87.6|
||2025|90.38|91.93|92.83|95.53|97.02|98.49|101.82|103.59|104.79|105.92|107.81|109.88|
|06121. (Medikal (Tıbbi) Tanı Ürünleri)|2023||||||||||||63.78|
||2024|67.17|71.01|72.92|75.63|76.05|76.71|78.91|80.79|82.21|83.74|85.63|87.6|
||2025|90.38|91.93|92.83|95.53|97.02|98.49|101.82|103.59|104.79|105.92|107.81|109.88|
|06122. (Önleyici Ve Koruyucu Cihaz Ve Ürünler)|2023||||||||||||109.9|
|0613. (Yardımcı Ürünler)|2023||||||||||||58.22|
||2024|63.55|67.36|69.61|71.22|72.07|73.46|75.12|76.32|77.33|80.08|81.74|83.12|
||2025|90.1|90.03|93.54|96.56|97.87|99.34|101.5|103.11|103.33|104.88|108.15|111.58|
||2026|116.74||||||||||||
|06131. (Görmeye Yardımcı Ürünler)|2023||||||||||||55.21|
||2024|62.11|65.73|68.4|69.96|71.33|71.67|73.47|74.65|76.26|78.62|80.21|81.15|
||2025|90.83|90.55|94.48|96.19|97.06|98.39|100.95|103.3|104.21|105.45|107.71|110.88|
||2026|118.95||||||||||||
|06133. (Hareket Ve Günlük Yaşam İçin Yardımcı Ürünler)|2023||||||||||||67.66|
||2024|67.66|72.1|72.93|74.66|73.77|78.64|79.85|81.11|80.11|84.13|85.97|88.84|
||2025|87.97|88.53|90.81|97.65|100.23|102.09|103.1|102.58|100.8|103.22|109.42|113.6|
||2026|111.65||||||||||||
|062. (Ayaktan Tedavi Hizmetleri)|2023||||||||||||51.1|
||2024|61.21|64.6|65.78|66.78|68.21|69.2|71.18|72.23|73.68|74.73|75.25|75.69|
||2025|109.61|96.48|96.92|97.49|97.77|98.2|99.54|100.12|100.45|100.95|101.14|101.32|
||2026|121.89||||||||||||
|0622. (Ayaktan Ağız Ve Diş Tedavi Hizmetleri)|2023||||||||||||52.3|
