|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|01142. (Yağı Alınmış Süt)|2023||||||||||||73.64|
||2024|73.28|83.85|81.22|79.68|83.16|77.72|88.85|87.07|83.83|88.54|88.37|88.12|
||2025|90.02|100.36|98.63|101.12|96.97|99.99|96.97|99.65|101.53|104.27|105.62|104.86|
||2026|112.54||||||||||||
|01143. (Diğer Sütler Ve Krema)|2025||||||||||||100.0|
||2026|101.97||||||||||||
|01145. (Peynir)|2023||||||||||||68.8|
||2024|68.91|76.89|77.52|78.07|78.91|82.98|83.67|84.24|84.83|83.57|83.29|83.8|
||2025|89.56|95.76|96.4|97.54|96.93|95.83|97.84|101.43|103.37|107.0|108.82|109.51|
||2026|110.44||||||||||||
|01146. (Yoğurt Ve Benzeri Ürünler)|2023||||||||||||67.64|
||2024|67.89|77.11|76.1|77.3|82.96|84.52|84.59|84.14|84.21|84.09|84.64|85.15|
||2025|89.14|98.12|97.37|97.62|96.2|96.42|97.18|100.33|105.57|106.0|108.18|107.85|
||2026|111.31||||||||||||
|01147. (Süt Bazlı Tatlı Ve İçecekler)|2023||||||||||||58.67|
||2024|61.44|70.15|69.43|71.03|77.02|77.87|78.1|77.71|78.38|81.17|81.59|81.54|
||2025|86.25|94.36|93.81|95.82|95.39|95.2|95.38|102.13|105.73|110.04|113.33|112.55|
||2026|115.01||||||||||||
|01148. (Yumurtalar)|2023||||||||||||67.77|
||2024|71.29|66.55|59.79|55.92|52.56|49.11|53.04|56.03|75.22|73.87|84.28|94.54|
||2025|98.82|100.28|108.86|116.69|94.74|81.71|84.4|88.56|106.13|113.03|103.56|103.21|
||2026|102.84||||||||||||
|0115. (Sıvı Ve Katı Yağlar)|2023||||||||||||64.07|
||2024|66.14|71.43|72.19|73.01|74.34|74.72|76.48|76.78|79.37|84.14|85.4|87.09|
||2025|88.67|90.96|91.17|93.53|94.4|95.32|96.99|99.2|108.28|110.64|115.31|115.53|
||2026|117.18||||||||||||
|01151. (Bitkisel Sıvı Yağlar)|2023||||||||||||63.97|
||2024|66.39|70.01|71.08|72.24|72.5|73.1|74.86|75.72|78.93|85.4|86.83|88.2|
||2025|89.5|89.3|90.32|92.78|94.12|95.15|96.87|99.4|108.97|111.81|115.89|115.9|
||2026|117.11||||||||||||
|01152. (Tereyağı Ve Sütten Elde Edilen Diğer Yağlar)|2023||||||||||||64.85|
||2024|65.84|77.02|76.24|76.36|80.44|80.22|81.53|80.5|81.04|81.67|81.84|83.46|
||2025|86.06|97.87|95.19|96.91|95.59|96.1|97.18|97.52|105.77|106.21|112.47|113.13|
||2026|116.18||||||||||||
|01153. (Margarin)|2023||||||||||||60.31|
||2024|62.17|64.68|67.81|67.02|71.15|71.18|74.81|73.12|75.83|75.22|78.77|84.94|
||2025|86.65|87.28|87.03|90.75|93.62|94.61|98.12|103.64|108.09|111.2|118.52|120.5|
||2026|121.51||||||||||||
|0116. (Meyveler Ve Sert Kabuklu Meyveler)|2023||||||||||||47.6|
||2024|50.52|54.86|57.25|63.01|66.65|71.44|71.56|64.41|64.21|70.21|72.63|72.36|
||2025|75.8|80.6|87.79|101.69|109.49|109.95|102.81|106.64|107.4|107.91|106.67|103.26|
||2026|107.21||||||||||||
|01161. (Hurma, İncir Ve Tropikal Meyveler, Taze)|2023||||||||||||40.2|
||2024|46.84|54.75|62.88|69.14|69.89|67.46|60.14|61.6|75.64|73.4|65.99|66.94|
||2025|76.43|89.3|99.59|114.74|120.78|101.98|91.42|91.5|107.76|112.61|98.29|95.59|
||2026|93.04||||||||||||
|01162. (Turunçgiller, Taze)|2023||||||||||||32.01|
||2024|33.06|36.63|34.65|40.89|47.15|55.46|68.72|59.12|46.77|58.73|69.15|65.14|
||2025|66.53|69.53|79.28|101.69|111.94|118.39|120.28|134.61|111.07|98.03|101.41|87.25|
||2026|96.87||||||||||||
|01163. (Sert Çekirdekli Ve Yumuşak Çekirdekli Meyveler, Taze)|2023||||||||||||43.27|
||2024|44.66|46.53|48.64|49.17|51.46|54.93|56.12|54.46|57.29|57.97|61.95|64.07|
||2025|65.87|68.77|73.88|81.03|90.15|105.44|115.24|118.28|122.81|119.92|119.44|119.17|
||2026|124.22||||||||||||
|01164. (Üzümsü Meyveler, Taze)|2023||||||||||||30.67|
||2024|32.83|36.09|39.01|65.46|66.16|70.54|63.84|55.2|57.95|59.83|59.61|59.28|
||2025|62.65|67.73|76.53|114.76|114.15|112.18|105.8|110.35|115.24|117.18|104.25|99.19|
||2026|103.7||||||||||||
|01165. (Diğer Meyveler, Taze)|2023||||||||||||60.94|
||2024|65.47|72.15|76.86|86.21|92.59|102.04|88.04|63.12|65.08|82.02|80.97|80.9|
||2025|85.57|92.99|103.39|122.79|133.18|125.15|86.94|85.66|88.19|94.79|92.44|88.91|
||2026|93.25||||||||||||
|01167. (Kurutulmuş Ve Dehidre Meyveler)|2023||||||||||||51.61|
||2024|53.5|55.55|57.95|60.58|63.0|67.34|69.55|71.36|72.28|72.59|73.94|74.49|
||2025|75.27|75.48|75.53|80.68|92.21|107.08|111.76|114.76|115.7|116.97|117.06|117.5|
||2026|122.84||||||||||||
|01168. (Sert Kabuklu Meyveler, Kabuklu Veya Kabuksuz)|2023||||||||||||65.09|
||2024|67.73|70.79|72.62|73.95|75.55|77.78|78.99|79.69|79.79|79.96|81.38|82.87|
||2025|84.86|85.79|87.89|90.28|94.47|96.26|97.68|99.88|107.45|114.04|119.07|122.34|
||2026|125.23||||||||||||
|0117. (Sebzeler, Yumrulu Sebzeler, Plantainler, Yemeklik Muzlar Ve Bakliyat)|2023||||||||||||68.1|
||2024|72.94|82.6|81.17|77.42|71.58|72.86|75.54|72.33|75.63|87.87|106.33|105.06|
||2025|106.64|101.92|117.47|104.31|91.68|88.68|89.27|89.13|97.09|106.76|101.15|105.91|
||2026|130.99||||||||||||
|01171. (Yeşil Yapraklı Veya Saplı Sebzeler, Taze Veya Soğutulmuş)|2023||||||||||||52.31|
